slug,nome,numero,genero,linha,tipo,volumes-disponiveis,familia-olfativa,inspiracao,marca-referencia,status,handle-shopify
no-2-delicate-londres,Délicate Londres,2,feminino,classica,fragrancias,25ml;100ml,Floral Verde,English Pear & Freesia,Jo Malone,ativo,
no-4-festive-miami,Festive Miami,4,feminino,classica,fragrancias,25ml,Floral Frutal,212 VIP Rosé,Carolina Herrera,ativo,nº-4-festive-miami-copy-copy
no-5,,,feminino,classica,fragrancias,25ml,Floral,Chloé,Chloé,ativo,
no-6-gracieuse-cannes,Gracieuse Cannes,6,feminino,classica,fragrancias,25ml;100ml,Floral Oriental,Coco Mademoiselle,Chanel,ativo,
no-7-sublime-versailles,Sublime Versailles,7,feminino,classica,fragrancias,25ml,Floral,J'adore,Dior,ativo,nº-7-sublime-versailles-copy-copy
no-8-intense-toulouse,Intense Toulouse,8,feminino,classica,fragrancias,25ml,Floral,L'Interdit,Givenchy,ativo,nº-8-intense-toulouse-copia
no-9,,,feminino,classica,fragrancias,25ml,Gourmand Floral,Good Girl,Carolina Herrera,ativo,
no-10-belle-grasse,Belle Grasse,10,feminino,classica,fragrancias,25ml;100ml,Floral,Delina,Parfums de Marly,ativo,
no-11,,,feminino,classica,fragrancias,25ml,Floral Aromático,Libre,YSL,ativo,
no-22-mystique-veneza,Mystique Veneza,22,feminino,classica,fragrancias,25ml,Floral Almiscarado,Paradoxe,Prada,ativo,
no-26,,,feminino,classica,fragrancias,25ml,Floral,Miss Dior,Dior,ativo,
no-28-icon-copenhague,Icon Copenhague,28,feminino,classica,fragrancias,25ml,Floral,Idôle,Lancôme,ativo,
no-30,,,feminino,classica,fragrancias,25ml,Floral Frutal,Scandal,JP Gautier,ativo,
no-12,,,masculino,classica,fragrancias,25ml;100ml,Aromático Amadeirado,Bleu de Chanel,Chanel,ativo,
no-13-feroce-provence,Féroce Provence,13,masculino,classica,fragrancias,25ml;100ml,Aromático Fresco,Sauvage,Dior,ativo,
no-14-brave-manhattan,Brave Manhattan,14,masculino,classica,fragrancias,25ml,Aromático,212 VIP Black,Carolina Herrera,ativo,nº-14-brave-manhattan-copy
no-16,,,masculino,classica,fragrancias,25ml,Fresco Aquático,Homme Sport,Dior,ativo,
