handle,titulo,categoria,subcategoria,volume,status,descricao_curta
oleo-essencial-de-lavanda-10-ml,Óleo Essencial de Lavanda 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,100% Lavandula angustifolia — calmante e relaxante; auxilia na qualidade do sono
oleo-essencial-alecrim-10-ml,Óleo Essencial de Alecrim 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Rosmarinus officinalis QT1 Cânfora — foco, memória e concentração
oleo-essencial-de-tea-tree-melaleuca-10ml,Óleo Essencial de Tea Tree 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Melaleuca alternifolia — pureza e limpeza natural
oleo-essencial-de-hortela-pimenta-10-ml,Óleo Essencial de Hortelã Pimenta 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Mentha piperita — frescor intenso e energia
oleo-essencial-de-ylang-ylang-5mls,Óleo Essencial de Ylang-Ylang 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Cananga odorata — sensualidade e alegria
oleo-essencial-de-bergamota-05ml,Óleo Essencial de Bergamota 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Citrus aurantium bergamia, prensado a frio da casca — equilíbrio emocional [rótulo 2026-07-29]
oleo-essencial-de-patchouli-5ml,Óleo Essencial de Patchouli 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Pogostemon cablin — terroso, aterrador, equilíbrio
oleo-essencial-de-geranio-bourbom-5ml,Óleo Essencial de Gerânio Bourbon 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Pelargonium graveolens — floral e equilíbrio feminino
oleo-essencial-de-limao-siciliano-10ml,Óleo Essencial de Limão Siciliano 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Citrus limon peel oil, destilado da casca — energia e clareza mental [rótulo 2026-07-29]
oleo-essencial-de-lemongrass-10ml,Óleo Essencial de Lemongrass 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Cymbopogon schoenanthus, destilado de folhas — frescor e vitalidade [rótulo 2026-07-29]
oleo-essencial-de-lavanda-bulgaria-10-ml,Óleo Essencial de Lavanda Bulgária 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Lavandula angustifolia Bulgária — relaxamento e leveza
oleo-essencial-de-litsea-cubeba-verbena-tropical-10-ml,Óleo Essencial de Litsea Cubeba 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Litsea cubeba — cítrico-herbal sofisticado
oleo-essencial-de-cedro-10-ml,Óleo Essencial de Cedro 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Juniperus virginiana (cedro da Virgínia), destilado dos frutos e folhas — calma e aterramento [rótulo 2026-07-29]
oleo-essencial-de-citronela-de-10-ml,Óleo Essencial de Citronela 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Cymbopogon nardus — repelente natural e frescor
oleo-essencial-de-copaiba-10-ml,Óleo Essencial de Copaíba 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Copaifera officinalis resin oil, destilado da resina — origem brasileira [rótulo 2026-07-29]
oleo-essencial-de-cravo-10-ml,Óleo Essencial de Cravo 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Eugenia caryophyllus leaf oil, destilado de folhas — quente e reconfortante [rótulo 2026-07-29]
oleo-essencial-de-erva-doce-5-ml,Óleo Essencial de Erva Doce 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Foeniculum vulgare — digestivo e suave
oleo-essencial-de-eucalipto-globulos-10ml,Óleo Essencial de Eucalipto Globulos 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Eucalyptus globulus — respiração e frescor
oleo-essencial-de-eucalipto-radiata-05-ml,Óleo Essencial de Eucalipto Radiata 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Eucalyptus radiata — mais suave que globulus
oleo-essencial-de-gengibre-05-ml,Óleo Essencial de Gengibre 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Zingiber officinale — quente e energizante
oleo-essencial-de-grapefruit-05ml,Óleo Essencial de Grapefruit 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Citrus paradisi — cítrico, leveza e positividade
oleo-essencial-de-hortela-do-brasil-10-ml,Óleo Essencial de Hortelã do Brasil 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Mentha arvensis — frescor suave e nacional
oleo-essencial-de-junipero-5-ml,Óleo Essencial de Junípero 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Juniperus communis — purificação e força
oleo-essencial-de-laranja-10-ml,Óleo Essencial de Laranja 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Citrus aurantium dulcis, prensado a frio da casca — alegria e leveza [rótulo 2026-07-29]
oleo-essencial-de-manjerona-5-ml,Óleo Essencial de Manjerona 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Origanum majorana leaf oil, destilado de folhas — calma e equilíbrio [rótulo 2026-07-29]
oleo-essencial-de-olibano-incenso-5-ml,Óleo Essencial de Olíbano/Incenso 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Boswellia carterii — premium; meditação e espiritualidade
oleo-essencial-de-palmarosa-5-ml,Óleo Essencial de Palmarosa 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Cymbopogon martinii — floral e cuidado com a pele
oleo-essencial-de-petitgrain-10-ml,Óleo Essencial de Petitgrain 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Citrus aurantium amara, destilado de folhas — elegância e calma zen [rótulo 2026-07-29]
oleo-essencial-de-sandalo-5-ml,Óleo Essencial de Sândalo 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Amyris balsamifera bark oil (SÂNDALO AMYRIS), destilado da casca — NÃO é Santalum album [rótulo 2026-07-29]
oleo-essencial-de-tangerina-10-ml,Óleo Essencial de Tangerina 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Citrus tangerina peel oil, destilado da casca — doce e alegre [rótulo 2026-07-29]
oleo-essencial-de-tomilho-10-ml,Óleo Essencial de Tomilho 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Thymus vulgaris — purificante e estimulante
oleo-essencial-de-vetiver-5-ml,Óleo Essencial de Vetiver 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Vetiveria zizanoides root oil, destilado da raiz — aterramento profundo [rótulo 2026-07-29]
oleo-essencial-de-artemisia-05ml,Óleo Essencial de Artemisia 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Artemisia herba-alba — uso ritualístico
oleo-essencial-de-camomila-romana-5-ml,Óleo Essencial de Camomila Romana 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Anthemis nobilis — premium; calmante máximo
oleo-essencial-de-erva-baleeira-05-ml,Óleo Essencial de Erva Baleeira 5ml,Óleos Essenciais,Óleos Puros,5ml,ativo,Cordia verbenacea — nacional e funcional
oleo-essencial-de-canela-folhas-10-ml,Óleo Essencial de Canela Folhas 10ml,Óleos Essenciais,Óleos Puros,10ml,ativo,Cinnamomum verum — quente e acolhedor
oleo-essencial-de-cipreste-05ml,Óleo Essencial de Cipreste 5ml,Óleos Essenciais,Óleos Puros,5ml,esgotado,Cupressus sempervirens — foco e firmeza
blend-de-oleos-bem-estar-15ml,Blend de Óleos Bem Estar 15ml,Blends,Blends de Óleos,15ml,ativo,"Lemongrass + Lavanda + Laranja — equilíbrio emocional e vitalidade"
blend-de-oleos-bem-estar-50ml,Blend de Óleos Bem Estar 50ml,Blends,Blends de Óleos,50ml,ativo,"Lemongrass + Lavanda + Laranja — versão econômica"
blend-de-oleos-energizante-15ml,Blend de Óleos Energizante 15ml,Blends,Blends de Óleos,15ml,ativo,"Alecrim + Tangerina + Hortelã Pimenta — energia e foco"
blend-de-oleos-mulher-15ml,Blend de Óleos Mulher 15ml,Blends,Blends de Óleos,15ml,ativo,"Gerânio + Patchouli — equilíbrio feminino e floral"
blend-de-oleos-refrescante-bysamia-aromaterapia-15ml,Blend de Óleos Refrescante 15ml,Blends,Blends de Óleos,15ml,ativo,"Hortelã + Laranja + Lemongrass — frescor e vitalidade"
blend-de-oleos-refrescante-50ml,Blend de Óleos Refrescante 50ml,Blends,Blends de Óleos,50ml,ativo,"Hortelã + Laranja + Lemongrass — versão econômica"
blend-de-oleos-relaxante-15ml,Blend de Óleos Relaxante 15ml,Blends,Blends de Óleos,15ml,ativo,"Lavanda + Laranja + Patchouli + Lemongrass — relaxamento profundo"
blend-de-oleos-sensual-15ml,Blend de Óleos Sensual 15ml,Blends,Blends de Óleos,15ml,ativo,Blend sensual — autoestima e romance
blend-de-oleos-zen-15-ml,Blend de Óleos Zen 15ml,Blends,Blends de Óleos,15ml,ativo,"Sândalo + Petitgrain + Laranja + Lavanda — meditação e reflexão"
roll-on-bem-estar-10-ml,Roll On Bem-estar 10ml,Roll-Ons,Roll-Ons,10ml,ativo,"Laranja + Lemongrass + Lavanda — equilíbrio emocional no dia a dia"
roll-on-oleos-essencias-energizante,Roll On Energizante 10ml,Roll-Ons,Roll-Ons,10ml,ativo,Alecrim + Tangerina + outros — energia e vitalidade
roll-on-mulher-10ml,Roll On Mulher 10ml,Roll-Ons,Roll-Ons,10ml,ativo,Gerânio + Patchouli — equilíbrio feminino
