Base de Conhecimento — Kokeshi,,,,,,,,,,,,,
Preencher 1 linha por produto. Agrupar por Collection. Campos com múltiplos valores: separar por quebra de linha (Alt+Enter).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Collection,Produto,SKU / Handle,Categoria,Ingredientes / Ativos,Para quem é,Benefícios,Prova de eficácia,Projeção / Fixação,Aroma / Família olfativa,Modo de uso,Perguntas frequentes (FAQ),Claims / Selos,Observações / Do not say
Pele de Porcelana,Hidratante Facial Pele de Porcelana,hidratante-facial-pele-de-porcelana,Hidratante Facial,"• Óleo de Farelo de Arroz (Oryza Sativa Bran Oil): hidratação, renovação celular
• Farinha de Arroz (Oryza Sativa Powder): suavidade, uniformização da textura
• Óleo de Rosa Mosqueta (Rosa Canina Fruit Oil): antioxidante, regenerador, antienvelhecimento
• Pantenol (Pró-Vitamina B5): hidratação e reparação
• Óleo de Amêndoa Doce (Prunus Amygdalus Dulcis Oil): emoliente nutritivo
• Livre de petrolatos e parabenos","• Todos os tipos de pele
• Indicado para adultos (não recomendado para crianças)
• Quem busca hidratação, tratamento anti-acne, antienvelhecimento e uniformização
• Uso noturno (indicação principal)","• Creme renovador com propriedades anti-idade, antiacne e antioxidante
• Alto poder hidratante
• Ajuda a uniformiza a pele e melhora manchas
• Suaviza a aparência de rugas e linhas finas
• Auxilia na pele oleosa (ação secativa)
• Acabamento com toque aveludado
• Melhora descamação e vermelhidão","• 1625+ avaliações na loja oficial
• Viral no TikTok — produto mais conhecido da marca
• Resultado percebido em reviews: pele mais macia, uniforme e luminosa
• Livre de petrolatos e parabenos",N/A (produto de cuidados faciais),"• Fragrância suave e delicada inspirada em cosméticos asiáticos
• Feedback: 'cheirinho muito bom e suave'","Após a limpeza da pele, à noite, espalhe uma pequena quantidade do creme no rosto até completa absorção.
Ordem de aplicação se usar outros produtos: Olhos de Gueixa → Sérum Booster → Pele de Porcelana → Óleo de Rosa Mosqueta (opcional).","P: Pode usar de dia? R: É indicado para uso noturno, mas pode ser usado de dia — encerrar com protetor solar.
P: É para todos os tipos de pele? R: Sim.
P: Crianças podem usar? R: Não indicado para crianças.
P: Grávidas podem usar? R: Consultar médico.","• Livre de petrolatos e parabenos
• Cruelty free
• Inspirado na skincare asiática (Japão e Coreia)
• Viral no TikTok",Produto âncora e carro-chefe da marca. O nome 'Pele de Porcelana' é o conceito central da Kokeshi. Não é vegano se vendido junto ao Olhos de Gueixa (que contém mel).
Pele de Porcelana,Hidratante Renovador para Área dos Olhos — Olhos de Gueixa,hidratante-renovador-para-area-dos-olhos-olhos-de-gueixa,Hidratante para Área dos Olhos,"• Óleo de Rosa Mosqueta (Rosa Canina Fruit Oil): antioxidante e regenerador
• Óleo de Farelo de Arroz (Oryza Sativa Bran Oil): hidratação e luminosidade
• Pantenol: hidratante e reparador
• Óleo de Amêndoa Doce: emoliente
• Extrato de Sálvia (Salvia Officinalis): ação anti-inflamatória
• Extrato de Mel: hidratação intensa
• Extrato de Chá Verde (Camellia Sinensis): antioxidante
• *Contém extrato de mel — NÃO é vegano","• Todos os tipos de pele
• Quem busca redução de olheiras, puffiness e linhas ao redor dos olhos
• Uso diurno e noturno
• Adultos (não indicado para crianças)","• Creme renovador para a área dos olhos
• Ajuda a melhora a aparência das olheiras, rugas e linhas finas
• Ilumina e revitaliza a área dos olhos
• Alto poder hidratante
• Contribui para uma aparência mais descansada e rejuvenescida","• 796+ avaliações na loja oficial
• Reviews: 'ameniza as olheiras', 'pele mais hidratada', 'aparência descansada'
• Muito vendido em kits junto ao Pele de Porcelana",N/A,• Fragrância suave e delicada,"Aplique delicadamente (pequena quantidade) com movimentos partindo do interior para o exterior do contorno dos olhos.
Aplicar de manhã e à noite.
Ordem de rotina: Olhos de Gueixa → Sérum Booster → Pele de Porcelana.","P: Pode usar de manhã? R: Sim, uso diurno e noturno.
P: É vegano? R: Não — contém extrato de mel.
P: Ajuda em olheiras? R: Sim, melhora a aparência.","• Cruelty free
• Não é vegano (contém mel)
• Formulado com ativos naturais",NÃO afirmar que é vegano — contém extrato de mel. Produto muito vendido em kits com o Pele de Porcelana.
Pele de Porcelana,Sabonete Líquido Facial Pele de Porcelana Kokeshi,sabonete-liquido-pele-de-porcelana-facial-kokeshi,Limpeza Facial,"• Extrato de Camomila (Chamomilla Recutita): calmante, anti-inflamatória
• Extrato de Arroz (Oryza Sativa Extract): hidratação e luminosidade
• Extrato de Chá Verde (Camellia Sinensis): antioxidante
• Extrato de Rosa Mosqueta (Rosa Canina Extract): regenerador","• Todos os tipos de pele
• Quem quer uma limpeza facial delicada e eficaz
• Usar antes do creme Pele de Porcelana e demais tratamentos","• Limpa sem agredir a pele
• Reequilibra e acalma a pele
• Ação calmante (camomila)
• Antioxidante (chá verde e rosa mosqueta)
• Textura espumante
• Deixa a pele pronta para receber os tratamentos","• 154+ avaliações
• Reviews: 'pele sequinha', 'limpa sem ressecar', 'toque macio', 'seca espinhas'",N/A,"• Fragrância leve e agradável
• Reviews: 'suave e delicado'","Aplicar sobre o rosto e pescoço com suaves movimentos circulares. Remova com água.
Uso externo.","P: Resseca a pele? R: Não — formulado para limpar sem agredir.
P: Pode usar todos os dias? R: Sim.
P: Qual a ordem? R: Usar antes dos tratamentos (tônico, sérum, hidratante).","• Cruelty free
• Ativos naturais (camomila, arroz, chá verde)",Produto de limpeza que completa a rotina Pele de Porcelana. Posicionar como o primeiro passo da rotina.
Pele de Porcelana,Rice — Água Micelar de Arroz Kokeshi,rice-agua-micelar-de-arroz-kokeshi,Limpeza Facial / Demaquilante,"• Extrato de Arroz (Oryza Sativa Powder): hidratação extra
• Óleo de Rosa Mosqueta (Rosa Canina Oil): antioxidante e regenerador
• Glicerina: umectante","• Todos os tipos de pele
• Quem usa maquiagem e precisa de demaquilação
• Primeira etapa da limpeza dupla (double cleansing)","• Ajuda a remover maquiagem, impurezas e resíduos da pele
• Contribui para a hidratação da pele
• Deixa a pele macia e com sensação de conforto
• Ideal para complementar a rotina Pele de Porcelana","• 226+ avaliações
• Reviews destacam eficácia na limpeza e hidratação extra",N/A,• Fragrância marcante (reviews mencionam cheiro forte — ponto de atenção),"De manhã e à noite, embeber um algodão com água micelar Arroz, passar no rosto todo. Repita o processo até que o algodão fique limpo.","P: Substitui o sabonete? R: Pode ser usado antes ou no lugar do sabonete.
P: Pode usar em volta dos olhos? R: Sim, com cuidado.","• Cruelty free
• Com extrato de arroz",Cuidado com o aroma — alguns reviews mencionam cheiro forte. Não afirmar que é sem aroma.
Pele de Porcelana,Sérum de Arroz Pele de Porcelana 30mL,serum-de-arroz-pele-de-porcelana-30ml,Sérum Facial,"• Extrato de Arroz (Oryza Sativa Extract): hidratação, luminosidade, uniformização
• Formulado especialmente com o ativo do arroz que dá nome à linha Pele de Porcelana","• Todos os tipos de pele
• Quem busca luminosidade e pele uniformizada
• Lançamento recente da linha","• Pele hidratada sem pesar
• Ajuda a uniformizar e iluminar o tom da pele
• Ideal para complementar a rotina Pele de Porcelana","• Produto recém-lançado
• 33% OFF no lançamento",N/A,• Fragrância da linha Pele de Porcelana,"Aplicar após a limpeza da pele, antes do hidratante.","P: É lançamento? R: Sim.
P: Qual a diferença com o creme pele de porcelana? R: possui textura mais leve. Pode ser usado junto com o creme.
P: Pode usar de manhã? R: Sim, uso diurno e noturno.
P: É para todos os tipos de pele? R: Sim.
P: Crianças podem usar? R: Não indicado para crianças.","• Cruelty free
• Com extrato de arroz",Produto recém-lançado — preencher com mais dados assim que disponíveis.
Linha Ozônio,Creme Gel Facial Gota de Colágeno Kokeshi,creme-gel-facial-gota-de-colageno-kokeshi,Creme Gel Facial,"• Óleo de Girassol Ozonizado: antioxidante, reparador, regenerador
• Óleo de Copaíba: auxilia na regeneração do colágeno, anti-inflamatório
• Manteiga de Karité (Butyrospermum Parkii Butter): nutritiva e emoliente
• Óleo de Amêndoa Doce (Prunus Amygdalus Dulcis Oil): emoliente","• Todos os tipos de pele
• Quem busca firmeza, elasticidade, hidratação, ação regeneradora e proteção das agressões diárias.
• Indicado para rosto, pescoço e colo
• Adultos","• Ajuda a manter a hidratação da pele
• Contribui para uma pele com mais elasticidade e firmeza
• Auxilia na manutenção da firmeza da pele
• Ajuda no controle da oleosidade da pele
• Com ação antioxidante, ajuda a proteger a pele
• Textura gel leve e refrescante","• 424+ avaliações
• Viral no TikTok
• Reviews: 'pele mais firme', 'textura ótima', 'boa absorção'",N/A,• Fragrância com toque de mentol e cânfora — sensação refrescante,"De manhã e à noite, com a pele limpa e seca, aplicar com movimentos ascendentes, massageando rosto, pescoço e colo.","P: Pode usar de dia? R: Sim, manhã e noite.
P: É para todos os tipos de pele? R: Sim.
P: Substitui o hidratante? R: Pode ser usado em conjunto com o Pele de Porcelana.","• Cruelty free
• Com óleo ozonizado
• Viral no TikTok",Parte da Linha Ozônio da Kokeshi. O diferencial é o óleo de girassol ozonizado + óleo de copaíba. Não afirmar vegano sem confirmar.
Séruns & Óleos,Serum Booster Facial Kokeshi — 30ml,serum-booster-facial-kokeshi,Sérum Facial,"• Vitamina C (Ácido Ascórbico / Açúcar Ascórbico): antioxidante, clareador, iluminador
• Ácido Hialurônico: hidratação profunda e preenchimento
• Ácido Glicólico: renovação celular, textura
• Retinol (Acetato de Retinila): antienvelhecimento, firmeza
• Óleo de Rosa Mosqueta (Rosa Canina Fruit Oil): antioxidante e regenerador
• Ácido Ferúlico: potencializa a Vitamina C
• Extrato de Arroz: hidratação e uniformização
• Vitamina E (Tocopheryl Acetate): antioxidante","• Todos os tipos de pele adulta
• Quem busca tratamento anti-idade, firmeza, controle de manchas e pele iluminada
• Não indicado para crianças
• Não recomendado para grávidas (contém ácidos)","• Ajuda a suavizar a aparência de linhas de expressão e rugas
• Contribui para uma pele mais firme e com mais elasticidade
• Ajuda a atenuar a aparência de manchas e a textura da pele
• Auxilia na renovação da pele e no controle da oleosidade
• Ajuda a prevenir os sinais do envelhecimento precoce","• 326+ avaliações
• Resultados em estudo independente após 32 dias de uso
• Reviews: 'pele mais macia', 'diferença em 2 semanas'",N/A,• Fragrância agradável — boa absorção,"De manhã e à noite, com a pele limpa, aplique algumas gotas do sérum no rosto. Espalhe de forma contínua e ascendente até completa absorção.
Na primeira semana: aplicar em dias alternados em pequenas quantidades.
Sempre usar protetor solar durante o dia.","P: Grávidas podem usar? R: Não — contém ácidos, consultar médico.
P: Pode causar ardência? R: Nas primeiras aplicações pode haver ardor ou picação — sensação transitória. Se persistir, suspender.
P: Precisa de protetor solar? R: Sim, especialmente durante o dia.
P: Para todas as idades? R: Não indicado para crianças.","• Cruelty free
• Nova embalagem e nova fórmula",Não indicado para grávidas. Recomendar protetor solar durante o uso. Pode haver sensação transitória de ardor nas primeiras aplicações.
Séruns & Óleos,Sérum Tudo em 1 — 30ML,serum-tudo-em-1-30ml-1,Sérum Facial Multifuncional,"• Ácido Hialurônico: hidratação e preenchimento
• Retinol: antienvelhecimento e firmeza
• Vitamina C (Palmitato de Ascorbila): antioxidante e clareador
• Óleo de Rosa Mosqueta: regenerador
• Extrato de Algas (Fucus Vesiculosus): firmeza e luminosidade
• Proteínas Hidrolisadas (Milho, Soja, Trigo): nutrição e elasticidade
• Vitamina E (Acetato de Tocoferila): antioxidante
• Óleo de Semente de Romã: antioxidante e anti-inflamatório
• Alantoína: calmante e regeneradora","• Todos os tipos de pele adulta
• Quem busca praticidade: um só produto com múltiplos ativos
• Uso diurno e noturno
• Não indicado para crianças","• Fórmula com 10+ ativos em um único produto
• Ajuda a suavizar a aparência de rugas e linhas ao redor dos olhos
• Ajuda a devolver o viço natural da pele","• 78+ avaliações
• Estudo de apreciabilidade cosmética após 30 dias: 
• 74% achou que aumentou a firmeza da pele
•  81% achou que o produto diminuiu as rugas e aumentou a hidratação da pele
• 90% pele macia e rejuvenescida",N/A,• Fragrância agradável e leve,"De manhã e à noite, com a pele limpa, aplique o sérum no rosto. Espalhe até completa absorção.
Ordem: Sérum Tudo em 1 → Olhos de Gueixa → Pele de Porcelana.
Finalize com protetor solar na rotina diurna.","P: Substitui o Sérum Booster? R: São produtos diferentes — o Tudo em 1 é mais completo. Podem ser usados separados ou combinados.
P: Para todas as idades? R: Não indicado para crianças.","• Cruelty free
• Mais de 10 ativos",Produto âncora de complexidade — comunicar os 10+ ativos como principal diferencial.
Séruns & Óleos,Óleo de Rosa Mosqueta 100% Kokeshi,oleo-de-rosa-mosqueta-kokeshi,Óleo Facial,• Rosa Canina Fruit Oil (Óleo de Rosa Mosqueta 100% puro e natural),"• Todos os tipos de pele
• Quem busca tratamento antioxidante, regenerador e anti-manchas
• Uso noturno (principal) ou para potencializar outros produtos
• Adultos","• Ajuda a manter a hidratação da pele
• Com ação antioxidante, ajuda a proteger a pele
• Ajuda a atenuar a aparência de manchas e manter a pele saudável
• Contribui para uma pele mais firme e com tom mais uniforme
• Potencializa os cuidados da rotina de skincare","• Produto best-seller viral no TikTok
• Reviews: 'pele mais firme', 'olheiras melhoram', 'diferença visível'",N/A,• Aroma natural do óleo de rosa mosqueta,"Aplicar 2 a 3 gotas diretamente no rosto ou misturar a um dos outros produtos da rotina para potencializar o efeito.
Uso noturno preferencial.
Massageie suavemente até completa absorção.","P: Pode usar de dia? R: Preferível à noite. Se usar de dia, aplicar protetor solar.
P: É 100% natural? R: Sim — óleo puro.
P: Pode misturar com outros produtos? R: Sim — potencializa o Pele de Porcelana e o Olhos de Gueixa.","• 100% natural e puro
• Cruelty free
• Viral no TikTok",Produto âncora de upsell — muito vendido junto aos kits. Comunicar o uso em conjunto para potencializar outros produtos.
Geleias (Jelly Cream),Geleia Facial de Colágeno — 100G,geleia-facial-colageno-100g,Hidratante Facial Geleia,"• Colágeno (Proteínas Hidrolisadas): firmeza e elasticidade
• Extrato de Arroz (Oryza Sativa Extract): hidratação e uniformização
• Extrato de Cereja (Prunus Cerasus Fruit Extract): antioxidante e iluminador
• Extrato de Romã (Punica Granatum Bark Extract): antioxidante
• Vitamina E (Ubiquinone/Tocopheryl Acetate): antioxidante
• Óleo de Chá-da-Índia (Camellia Sinensis Leaf Oil): calmante
• Óleo de Linhaça: ômega 3, nutritivo","• Todos os tipos de pele
• Quem busca firmar, hidratar e uniformizar
• Uso diário
• Textura jelly hit no TikTok","• Textura inovadora em geleia, leve e refrescante
• Pele hidratada por mais tempo
• Ajuda a melhorar a textura da pele e a aparência de rugas e linhas de expressão
• Auxilia na firmeza e elasticidade da pele
• Ajuda a controlar a oleosidade e reduzir aparência dos poros
• Indicada para todos os tipos de pele, especialmente as que buscam leveza e hidratação","• Estudo de apreciabilidade cosmética após 30 dias de uso
• 57+ avaliações
• Viral no TikTok
• Reviews: 'produto incrível, diferença em menos de um mês'

• 93% notaram a pele mais luminosa e hidratada por mais tempo
• 93% sentiram hidratação prolongada
• 87% perceberam melhora na textura e pele mais uniforme
• 83% perceberam redução na aparência de manchas
• 87% perceberam melhora na aparência de rugas e linhas de expressão
• 87% perceberam melhora na firmeza e elasticidade da pele
• 87% sentiram a pele mais fortalecida
• 87% ajudou a controlar a oleosidade e reduzir aparência dos poros
• 100% rápida absorção

*resultado após 30 dias de uso. Estudo realizado com 32 voluntárias em um instituto independente. ",N/A,• Fragrância floral de Sakura — delicada e sofisticada,"Com a pele limpa e seca, aplique no rosto e massageie até completa absorção. Uso diário.","P: Substitui o hidratante? R: Pode ser usado como hidratante diário.
P: Pode usar de manhã? R: Sim, uso diário manhã e noite.
P: É o mesmo que Gota de Colágeno? R: Não — textura diferente (geleia vs. creme gel).","• Cruelty free
• Viral no TikTok
• Fragrância de Sakura",Posicionar como a versão jelly cream moderna e instagramável. A fragrância de Sakura é diferencial de experiência.
