Base de Conhecimento — Ápice,,,,,,,,,,,,,
Preencher 1 linha por produto. Agrupar por Collection. Campos com múltiplos valores: separar por quebra de linha (Alt+Enter).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Collection,Produto,SKU / Handle,Categoria,Ingredientes / Ativos,Para quem é,Benefícios,Prova de eficácia,Projeção / Fixação,Aroma / Família olfativa,Modo de uso,Perguntas frequentes (FAQ),Claims / Selos,Observações / Do not say
Linha Onduladas Nutri Waves,Shampoo Nutri Waves 300ml,shampoo-nutri-waves-300ml,Shampoo,"• Proteína do Arroz (Hydrolyzed Rice Protein): aminoácidos, ação nutritiva, protetora, remineralizante e antioxidante. Repara e fortalece a fibra capilar.
• Tecnologia SuperWave (exclusiva Ápice): polissacarídeos da linhaça e chia — definição máxima dos cachos.
• Glicerina
• Decyl Glucoside (tensoativo suave)
• Base: Aqua, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate","• Cabelos ondulados, cacheados, crespos e em transição capilar
• Todas as curvaturas
• Quem segue técnicas No Poo / Low Poo
• Liberado para crianças acima de 3 anos","• Higieniza sem agredir o couro cabeludo
• Promove limpeza, maciez e reconstrução
• Ajuda a reparar fios danificados por agentes externos
• Reduz eletricidade estática
• Realça o movimento natural da curvatura","• 414+ avaliações com média 4.49⭐ na loja oficial
• Liberado para Low Poo (validado via INCI)
• pH 5,5 a 6,4 (compatível com couro cabeludo)
• Dermatologicamente testado
• Aprovado por 99% das dermatologistas consultadas
• 72% na redução de Frizz
• 90% + brilho ",N/A (categoria higienização capilar),"• Fragrância de coco característica da linha
• Perfumação duradoura (feedback recorrente em reviews: “cheiro dura dias”)","1. Molhe bem os cabelos
2. Aplique o shampoo diretamente no couro cabeludo molhado
3. Com movimentos circulares e suaves, higienize couro cabeludo e fios
4. Durante o enxágue, deixe o produto escorrer pelo comprimento
5. Se necessário, repita o processo
6. Finalize com Condicionador Nutri Waves
Uso: diário","P: É liberado para No Poo?
R: Liberado para Low Poo.

P: Serve para cabelo liso?
R: Indicado para ondulados, cacheados, crespos e transição. Lisos podem usar, mas não é o foco da fórmula.

P: Pode usar em criança?
R: Sim, acima de 3 anos.

P: Tem versão maior?
R: Sim, versão 1000ml.

P: Qual o pH?
R: Entre 5,5 e 6,4.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado Low Poo
• Dermatologicamente testado
• Ingredientes biodegradáveis","Não afirmar “liberado No Poo” (é apenas Low Poo). Não prometer alisamento ou redução de volume — a proposta é realçar curvatura, não modificá-la."
Linha Onduladas Nutri Waves,Creme de Pentear Nutri Waves 500g,cond-crm-pt-nutri-waves-500g,Creme de Pentear / Finalizador,"• Proteína do Arroz
• Tecnologia SuperWave (linhaça + chia)
• Óleo de Pracaxi: hidratação profunda, redução de frizz, brilho, fortalecimento e definição de ondas
• Manteiga de Karité: emoliente, nutrição profunda, brilho e suavidade
• Aminoácidos: brilho, elasticidade e resistência","• Cabelos ondulados, cacheados, crespos e em transição
• Todas as curvaturas
• Seguidoras de No Poo / Low Poo
• Uso diário
• Crianças acima de 3 anos","• Definição dos fios e penteabilidade
• Nutre e desenvolve o movimento natural da curvatura
• Ação condicionante sem deixar resíduo
• Não precisa enxaguar
• Controle de frizz e hidratação intensa","• Liberado para No Poo e Low Poo
• pH 3,0 a 4,0 (ácido, fecha cutícula)
• Ingredientes biodegradáveis
• Reviews 4.5+⭐ em múltiplas páginas de kit
• Aprovado por 99% das dermatologistas consultadas
• 72% na redução de Frizz
• 90% + brilho","• Finalização duradoura (feedback: “durinho” típico de géis não é característico, textura creme)
• Uso diário sem pesar","• Linha Nutri Waves — aroma fresco característico da família
• Perfumação presente, sem ser invasiva","1. Após lavar e condicionar, com os cabelos úmidos ou secos, aplique o creme
2. Espalhe com pente ou técnica de aplicação favorita (ex. fitagem, dedoleira)
3. Para maior definição, combine com a Gelatina Nutri Waves
4. Não precisa enxaguar
5. Uso diário — pode reativar em fios secos no day after
Dica: para quebrar o “durinho” da gelatina após secagem, use sérum ou óleo 100% vegetal","P: Precisa enxaguar?
R: Não, é leave-in.

P: Dá efeito durinho?
R: O creme em si não. Se combinado com gelatina, pode dar leve efeito — quebrar com sérum.

P: Serve para day after?
R: Sim, aplicar em fios secos para revitalizar cachos.

P: Posso usar junto com outro leave-in?
R: Sim, inclusive potencializa resultado.

P: Tem versão maior?
R: Sim, 1000ml.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado No Poo e Low Poo
• Ingredientes biodegradáveis
• Seguro para crianças 3+",Produto âncora de AOV — priorizar em bundles e kits (“Kit Nutri Waves 4 itens” é hero do ecossistema). Reforçar combinação com Gelatina para CRO em PDP.
Linha Onduladas Nutri Waves,Condicionador Acidificante e Leave In Nutri Waves 1000ml,cond-nutri-waves-1000ml,Condicionador 2 em 1,"• Proteína do Arroz
• Tecnologia SuperWave (linhaça + chia)
• Óleo de Coco: vitaminas, lipídios e proteínas — hidratação profunda e nutrição
• Aminoácidos
• Base condicionante com pH ácido para fechamento de cutícula","• Cabelos porosos e quimicamente tratados
• Ondulados, cacheados, crespos e transição
• Quem busca tratamento de porosidade
• Usuárias que querem 2 produtos em 1 (economia e praticidade)
• No Poo / Low Poo
• Crianças acima de 3 anos","• 2 em 1: condicionador de enxágue + leave-in
• Trata porosidade capilar
• Fecha as cutículas = fios mais saudáveis, brilhantes e alinhados
• Cabelos macios, leves e soltos
• Ação condicionante sem resíduo","• pH ácido (3,0 a 4,0) — cientificamente indicado para controle de porosidade
• Liberado No Poo e Low Poo
• Reviews destacam recuperação de fios com química (mechas, coloração)
• Dermatologicamente testado
• Aprovado por 99% das dermatologistas consultadas
• 72% na redução de Frizz
• 90% + brilho",N/A,"• Aroma Nutri Waves da linha
• Perfumação percebida como “duradoura” em reviews
• Mirra e notas orientais","MODO 1 — ENXÁGUE:
1. Após lavar com Shampoo Nutri Waves, aplique no comprimento dos fios
2. Deixe agir por 3 minutos
3. Enxágue

MODO 2 — LEAVE-IN:
1. Após higienização, aplique uma pequena quantidade em cabelo úmido
2. Espalhe pelo comprimento e pontas
3. Não enxágue
4. Finalize com creme de pentear ou gelatina se quiser mais definição","P: Posso usar como leave-in mesmo?
R: Sim, é 2 em 1. Pode usar como enxágue OU sem enxaguar.

P: Ajuda em cabelo poroso?
R: Sim, foi desenvolvido para tratar porosidade — pH ácido fecha a cutícula.

P: Serve pra cabelo com química (mechas, progressiva)?
R: Sim, indicado inclusive para fios tratados quimicamente.

P: Posso usar todo dia?
R: Sim, uso diário liberado.

P: Tem versão menor?
R: Sim, há formatos menores da linha Nutri Waves.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado No Poo e Low Poo
• Ingredientes biodegradáveis
• 2 em 1",Comunicar claramente os DOIS modos de uso — é diferencial da SKU. Versão 1000ml é foco de ticket alto: priorizar em upsell de PDP e cart drawer. Não posicionar como máscara de tratamento (é condicionador + leave-in).
Linha Onduladas Nutri Waves,Condicionador Acidificante e Leave In Nutri Waves 1000ml,cond-nutri-waves-1000ml,Condicionador 2 em 1,"• Proteína do Arroz
• Tecnologia SuperWave (linhaça + chia)
• Óleo de Coco: vitaminas, lipídios e proteínas — hidratação profunda e nutrição
• Aminoácidos
• Base condicionante com pH ácido para fechamento de cutícula","• Cabelos porosos e quimicamente tratados
• Ondulados, cacheados, crespos e transição
• Quem busca tratamento de porosidade
• Usuárias que querem 2 produtos em 1 (economia e praticidade)
• No Poo / Low Poo
• Crianças acima de 3 anos","• 2 em 1: condicionador de enxágue + leave-in
• Trata porosidade capilar
• Fecha as cutículas = fios mais saudáveis, brilhantes e alinhados
• Cabelos macios, leves e soltos
• Ação condicionante sem resíduo","• pH ácido (3,0 a 4,0) — cientificamente indicado para controle de porosidade
• Liberado No Poo e Low Poo
• Reviews destacam recuperação de fios com química (mechas, coloração)
• Dermatologicamente testado
• Aprovado por 99% das dermatologistas consultadas
• 72% na redução de Frizz
• 90% + brilho",N/A,"• Aroma Nutri Waves da linha
• Perfumação percebida como “duradoura” em reviews
• Mirra e notas orientais","MODO 1 — ENXÁGUE:
1. Após lavar com Shampoo Nutri Waves, aplique no comprimento dos fios
2. Deixe agir por 3 minutos
3. Enxágue

MODO 2 — LEAVE-IN:
1. Após higienização, aplique uma pequena quantidade em cabelo úmido
2. Espalhe pelo comprimento e pontas
3. Não enxágue
4. Finalize com creme de pentear ou gelatina se quiser mais definição","P: Posso usar como leave-in mesmo?
R: Sim, é 2 em 1. Pode usar como enxágue OU sem enxaguar.

P: Ajuda em cabelo poroso?
R: Sim, foi desenvolvido para tratar porosidade — pH ácido fecha a cutícula.

P: Serve pra cabelo com química (mechas, progressiva)?
R: Sim, indicado inclusive para fios tratados quimicamente.

P: Posso usar todo dia?
R: Sim, uso diário liberado.

P: Tem versão menor?
R: Sim, há formatos menores da linha Nutri Waves.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado No Poo e Low Poo
• Ingredientes biodegradáveis
• 2 em 1",Comunicar claramente os DOIS modos de uso — é diferencial da SKU. Versão 1000ml é foco de ticket alto: priorizar em upsell de PDP e cart drawer. Não posicionar como máscara de tratamento (é condicionador + leave-in).
Linha Cachos,Shampoo Cachos Nutritivo 300ml,shampoo-cachos-nutritivo-300ml,Shampoo,"• D-Pantenol (Pró-Vitamina B5): ação hidratante, manutenção da umidade natural
• Óleo de Coco: vitaminas, lipídios e proteínas — umectante e hidratante
• Extrato de Aloe Vera: reduz irritação no couro cabeludo, hidrata os fios
• Base: Aqua, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Lauryl Glucoside, Acrylates Copolymer, Panthenol","• Cabelos cacheados, ondulados, crespos ou em transição capilar
• Liberado para Low Poo
• Uso diário
• Crianças acima de 3 anos","• Higieniza sem agredir o couro cabeludo
• Promove cachos limpos, macios, leves e nutridos
• Realça o movimento natural da curvatura
• Hidratação profunda e nutrição intensa
• Couro cabeludo saudável e fios mais resistentes","• pH 5,20 a 5,60 (compatível com couro cabeludo)
• Liberado Low Poo (validado via INCI)
• Dermatologicamente testado
• Vegano
• Sem sulfatos, parabenos e silicones",N/A (categoria higienização capilar),"• Fragrância doce e marcante da linha Cachos
• Nova fragrância na versão Essence — feedback positivo em reviews","1. Aplique o shampoo no couro cabeludo molhado
2. Com movimentos circulares e suaves, higienize o couro cabeludo e os fios
3. Durante o enxágue, deixe o produto escorrer pelo comprimento
4. Se necessário, repita o processo
5. Finalize com o Condicionador Cachos","P: É Low Poo? R: Sim, liberado para Low Poo.
P: É No Poo? R: Não — apenas Low Poo.
P: Pode usar em criança? R: Sim, acima de 3 anos.
P: Tem versão maior? R: Sim, 1000ml.
P: Qual o pH? R: Entre 5,20 e 5,60.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado Low Poo
• Dermatologicamente testado",Não afirmar 'liberado No Poo' — é apenas Low Poo. Versão Essence é a reformulação com nova fragrância — mesma performance.
Linha Cachos,Shampoo Cachos Nutritivo 1000ml,shampoo-cachos-nutritivo-1000ml,Shampoo,"• D-Pantenol (Pró-Vitamina B5): ação hidratante
• Óleo de Coco: umectante e hidratante
• Extrato de Aloe Vera: hidrata e acalma o couro cabeludo
• Base: Aqua, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Lauryl Glucoside, Panthenol","• Cabelos cacheados, ondulados, crespos ou em transição
• Liberado para Low Poo
• Uso diário
• Crianças acima de 3 anos
• Quem usa grandes volumes (melhor custo-benefício)","• Higieniza sem agredir o couro cabeludo
• Cachos limpos, macios, leves e nutridos
• Realça o movimento natural da curvatura","• pH 5,20 a 5,60
• Liberado Low Poo
• Dermatologicamente testado
• Vegano",N/A (higienização capilar),• Fragrância doce da linha Cachos,"1. Aplique no couro cabeludo molhado
2. Massageie suavemente com movimentos circulares
3. Enxágue, deixando escorrer pelos fios
4. Repita se necessário
5. Finalize com o Condicionador Cachos","P: É Low Poo? R: Sim.
P: Tem versão menor? R: Sim, 300ml.
P: Pode usar diariamente? R: Sim.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado Low Poo
• Dermatologicamente testado",Não afirmar No Poo — apenas Low Poo. Versão econômica para uso frequente.
Linha Cachos,Condicionador Cachos Nutritivo 300ml,condicionador-cachos-300ml,Condicionador,"• Óleo de Coco: vitaminas, lipídios e proteínas — umectante e hidratante
• Manteiga de Karité (Butyrospermum Parkii): emoliente, nutrição profunda, brilho e suavidade
• Ação acidificante (pH ácido): sela as cutículas, preserva ativos na fibra capilar
• Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Caprylic/Capric Triglyceride, Alcohol, Guar Hydroxypropyltrimonium Chloride, Lactic Acid, Glycerin","• Cabelos cacheados, ondulados, crespos ou em transição
• Liberado para No Poo e Low Poo
• Uso diário
• Crianças acima de 3 anos","• Sela as cutículas — fios mais brilhosos e macios
• Preserva ativos vegetais na fibra capilar
• Fortalece e hidrata os fios
• Desembaraço imediato
• Ação condicionante e acidificante","• pH 2,5 a 3,5 (ação acidificante comprovada)
• Liberado No Poo e Low Poo
• Dermatologicamente testado
• Vegano",N/A,• Fragrância doce da linha Cachos,"1. Após o Shampoo Cachos, aplique no comprimento dos fios
2. Massageie e enluve bem, garantindo aplicação uniforme
3. Evite contato com o couro cabeludo
4. Deixe agir até 3 minutos para potencializar o efeito acidificante
5. Enxágue completamente","P: É No Poo? R: Sim, liberado para No Poo e Low Poo.
P: Pode usar no couro cabeludo? R: Não — aplicar apenas no comprimento e pontas.
P: Pode usar todo dia? R: Sim.
P: Tem versão maior? R: Sim, 1000ml.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado No Poo e Low Poo
• Dermatologicamente testado",Condicionador com pH ácido — diferencial de fechamento de cutícula. Nunca aplicar no couro cabeludo.
Linha Cachos,Condicionador Cachos Nutritivo 1000ml,condicionador-cachos-1000ml,Condicionador,"• Óleo de Coco: vitaminas, lipídios e proteínas — umectante e hidratante
• Manteiga de Karité: emoliente, nutrição profunda, brilho e suavidade
• Ação acidificante: sela as cutículas
• Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Caprylic/Capric Triglyceride, Lactic Acid","• Cabelos cacheados, ondulados, crespos ou em transição
• Liberado para No Poo e Low Poo
• Uso diário / uso frequente
• Crianças acima de 3 anos","• Sela as cutículas — fios brilhosos e macios
• Preserva ativos na fibra capilar
• Fortalece e hidrata
• Ação acidificante","• pH 2,5 a 3,5
• Liberado No Poo e Low Poo
• Vegano",N/A,• Fragrância da linha Cachos,"1. Após o Shampoo, aplique no comprimento dos fios
2. Enluve bem, evite o couro cabeludo
3. Deixe agir até 3 minutos
4. Enxágue completamente","P: É versão econômica? R: Sim, maior volume, melhor custo-benefício.
P: Mesma fórmula? R: Sim.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado No Poo e Low Poo",Versão econômica. Priorizar em upsell. Não aplicar no couro cabeludo.
Linha Cachos,Máscara Cachos Hidratante Nutritiva 300g,mascara-cachos-hidratante-300g,Máscara de Tratamento,"• Óleo de Coco: vitaminas, lipídios e proteínas — umectante e hidratante
• Manteiga de Karité: emoliente, nutrição profunda, brilho e suavidade
• Tecnologia SuperWave (linhaça + chia): definição máxima dos cachos
• Aqua, Stearyl Alcohol, Cetyl Alcohol, Cetrimonium Chloride, Alcohol, Caprylic/Capric Triglyceride","• Cabelos ondulados, cacheados, crespos e em transição
• Cabelos ressecados com necessidade de nutrição intensa
• Uso semanal ou conforme necessidade
• Crianças acima de 3 anos","• Hidratação profunda e nutrição intensa
• Cabelos macios, brilhosos e com movimento natural
• Tratamento condicionante
• Fortalece os fios
• Define os cachos","• Dermatologicamente testado
• Reviews destacam maciez e brilho
• Vegano",N/A (produto de enxágue),• Fragrância doce da linha Cachos,"1. Após o Shampoo Cachos, aplique a máscara nos fios
2. Massageie bem
3. Deixe agir por até 15 minutos
4. Enxágue
5. Aplique o Condicionador Cachos para selar as cutículas
6. Finalize com Ativador ou Gelatina","P: Com que frequência? R: Semanal ou conforme necessidade.
P: Substitui o condicionador? R: Não — use o condicionador após a máscara para selar.
P: Tem versão maior? R: Sim, 500g.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado No Poo e Low Poo
• Dermatologicamente testado",Produto de tratamento intensivo — não confundir com condicionador de enxágue. Sempre reforçar o uso do condicionador após a máscara.
Linha Cachos,Máscara Cachos Hidratante Nutritiva 500g,mascara-cachos-hidratante-500g,Máscara de Tratamento,"• Óleo de Coco: umectante e hidratante
• Manteiga de Karité: emoliente, nutrição profunda
• Tecnologia SuperWave (linhaça + chia): definição dos cachos","• Cabelos ondulados, cacheados, crespos e em transição
• Uso semanal / uso intensivo
• Quem usa grandes volumes
• Crianças acima de 3 anos","• Hidratação profunda e nutrição intensa
• Cabelos macios, brilhosos e definidos
• Tratamento condicionante","• Dermatologicamente testado
• Vegano",N/A (produto de enxágue),• Fragrância da linha Cachos,"1. Após o Shampoo, aplique a máscara
2. Massageie os fios
3. Deixe agir por até 15 minutos
4. Enxágue
5. Aplique condicionador para selar as cutículas","P: É versão econômica? R: Sim, 500g tem melhor custo-benefício.
P: Frequência? R: Semanalmente ou conforme necessidade.","• Vegano
• Cruelty free
• Livre de sulfatos, silicones e parabenos
• Liberado No Poo e Low Poo",Versão econômica da máscara. Priorizar em upsell para quem compra a 300g.
