slug,nome,vertical,tipo,subcategoria,formato,ativos-principais,objetivo,status,handle-shopify
formula-4mag-30-dias,Fórmula 4Mag (Magnésio) - 30 dias,suplementacao,unitario,energia-relaxamento,30 dias,Magnésio Malato + Bisglicinato + Citrato + Taurato,energia · relaxamento muscular · sono · bem-estar,ativo,formula-4-mag-magnesio
formula-4mag-90-dias,Fórmula 4Mag (Magnésio) - 90 dias,suplementacao,unitario,energia-relaxamento,90 dias,Magnésio Malato + Bisglicinato + Citrato + Taurato,energia · relaxamento muscular · sono · bem-estar,ativo,formula-4mag-magnesio-90-dias
magnesio-inositol,Magnésio Inositol 180g - Blueberry com Limão,suplementacao,unitario,sono-relaxamento,180g,TriMagnésio + Mio-Inositol,sono · equilíbrio hormonal · TPM · relaxamento,ativo,magnesio-inositol
formula-prebiotica,Fórmula Prebiótica | 200g,suplementacao,unitario,intestino,200g (30 doses),Inulina + Psyllium + Goma Acácia + Agar + FOS,microbiota · digestão · absorção de nutrientes · imunidade · pele,ativo,formula-prebiotica
formula-nac-30-dias,Fórmula NAC - 30 dias,suplementacao,unitario,antioxidante-detox,30 dias,N-Acetilcisteína,antioxidação profunda · detox hepático · proteção celular,ativo,nac
formula-nac-90-dias,Fórmula NAC - 90 dias,suplementacao,unitario,antioxidante-detox,90 dias,N-Acetilcisteína,antioxidação profunda · detox hepático · proteção celular,ativo,formula-nac-90-dias
picolinato-booster-30-dias,Picolinato Booster - 30 dias,suplementacao,unitario,energia-metabolismo,30 dias,Picolinato de Cromo,metabolismo da glicose · foco · disposição · redução de fadiga,ativo,picolinato-booster
formula-complexo-b,Fórmula Complexo B - 60 dias,suplementacao,unitario,energia-metabolismo,60 dias (60 cáps),Vitamina B1 + B2 + B3 + B5 + B6 + B7 + B9 + B12,energia celular · metabolismo · saúde neurológica,ativo,formula-complexo-b
formula-femme-nutri,Fórmula Femme Nutri (Multivitamínico para a Mulher) - 30 dias,suplementacao,unitario,saude-da-mulher,30 dias,[VALIDAR INCI],cuidado feminino completo · todas as fases,ativo,formula-femme-nutri
formula-antioxi-nutri-30,Fórmula Antioxi Nutri - 30 cápsulas,suplementacao,unitario,pele-beleza-oral,30 cáps,[VALIDAR INCI],proteção solar oral · manchas · melasma · antioxidação sistêmica,ativo,formula-antioxinutri
formula-antioxi-nutri-90,Fórmula Antioxi Nutri - 90 cápsulas,suplementacao,unitario,pele-beleza-oral,90 cáps,[VALIDAR INCI],proteção solar oral · manchas · melasma · antioxidação sistêmica,ativo,formulas-antioxi-nutri-90-capsulas
formula-mov-nutri,Fórmula Mov Nutri - 30 dias,suplementacao,unitario,mobilidade-articular,30 dias,Colágeno Tipo II + Vitamina D3 + K2,dor muscular · articulações · mobilidade,ativo,formula-mov-nutri
formula-cardio-omega3,Fórmula Cardio Ômega 3 (Super EPA) - 60 cápsulas,suplementacao,unitario,cardiovascular,60 cáps,Ômega 3 EPA (alta concentração),saúde cardiovascular · conforto circulatório,ativo,cardio-omega-3-super-epa
formula-fabulosa,Fórmula Fabulosa (Pele + Unha + Cabelo) - 30 dias,suplementacao,unitario,pele-beleza-oral,30 dias,[VALIDAR INCI],cabelo · pele · unhas · beleza de dentro,ativo,formula-fabulosa
imuno-shot,Imuno Shot (Fórmula da Imunidade) - 150g,suplementacao,unitario,imunidade,150g,Curcumina + Glutamina + Treonina + Vitaminas + Minerais,imunidade · saúde intestinal · resposta inflamatória,ativo,formula-da-imunidade
formula-coenzima-q10,Fórmula Coenzima Q10 - 30 dias,suplementacao,unitario,energia-relaxamento,30 dias,Coenzima Q10,energia · disposição · longevidade celular,ativo,coenzima-q10
formula-dermactive,Fórmula Dermactive - 30 dias,suplementacao,unitario,anti-acne-oral,30 dias,Niacinamida Oral + Curcumina + Zinco,anti-acne oral · pele uniforme · redução de oleosidade,ativo,formula-dermactive
formula-neuro-omega3,Fórmula Neuro Ômega 3 (Super DHA) - 60 cápsulas,suplementacao,unitario,foco-cognicao,60 cáps,Ômega 3 DHA (alta concentração),foco · clareza mental · memória · saúde visual,ativo,neuro-omega3-super-dha
vitamina-d3,Vitamina D3 2.000 UI com TCM - 60 cápsulas,suplementacao,unitario,vitaminas,60 cáps,Vitamina D3 + TCM,imunidade · saúde óssea · vitalidade · absorção de cálcio,ativo,vitamina-d3-2000-ui
hidratante-preenchedora,Fórmula Hidratante Preenchedora | 35g,skincare,unitario,hidratante,35g,Ácido Hialurônico (triplo: alto + baixo + baixíssimo PM) + Hidroxiprolisilane,hidratação profunda · preenchimento de linhas · firmeza,ativo,formula-hidratante-preenchedora
limpeza-gentil,Fórmula da Limpeza Gentil (Mousse Facial) | 140ml,skincare,unitario,limpeza,140ml,Niacinamida + Enzima de Abóbora,limpeza suave · respeito ao pH · sem repuxamento,ativo,formula-da-espuma-gentil
formula-renovadora,Fórmula Renovadora | 35g,skincare,unitario,renovacao,35g,Retinol + Glicólico + Niacinamida + Vitamina E + Matrixyl + Agascalm,renovação celular · colágeno · antissinais,ativo,formula-antirrugas
formula-micelar,Fórmula Micelar 9 em 1 | 200ml,skincare,unitario,limpeza,200ml,Tecnologia de micelas,remoção de maquiagem · limpeza profunda sem atrito,descontinuado,formula-micelar
the-golden-stick,The Golden Stick FPS 84 - 100% Mineral,skincare,unitario,protecao-solar,stick,Filtro solar 100% mineral (físico),proteção solar · base antimanchas · clareamento,ativo,golden-stick-rituaria
formula-antioxidante,Fórmula Antioxidante com Vitamina C 10% | 35g,skincare,unitario,antioxidante,35g,Vitamina C 10% + Vitamina E + Ácido Ferúlico + Ácido Hialurônico,antioxidação · proteção UV · luminosidade · viço,ativo,formula-antioxidante
formula-uniformizadora,Fórmula Uniformizadora para Manchas e Melasma | 35g,skincare,unitario,manchas,35g,Niacinamida + Ácido Tranexâmico + Ácido Mandélico + Alpha Arbutin,manchas · melasma · uniformização do tom,ativo,formula-uniformizadora
